rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1619187838453363849,,37,,1619187838,452693290,'',15.140999794006348,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.047999858856201, 5.047999858856201, 5.047999858856201]","""id0""",''
1619187840453822829,,38,,1619187840,453489881,'',15.140000343322754,-0.7699999809265137,nan,nan,nan,1.0,2,0,3,True,"[5.043000221252441, 5.043000221252441, 5.043000221252441]","""id0""",''
1619187842452012657,,39,,1619187842,451705758,'',15.11400032043457,-0.9800000190734863,nan,nan,nan,1.0,2,0,3,True,"[5.033999919891357, 5.033999919891357, 5.033999919891357]","""id0""",''
1619187844453759345,,40,,1619187844,453443733,'',15.095999717712402,-1.0199999809265137,nan,nan,nan,1.0,2,0,3,True,"[5.031000137329102, 5.031000137329102, 5.031000137329102]","""id0""",''
1619187918737726020,,0,,1619187918,737097660,'',15.13700008392334,-0.12999999523162842,nan,nan,nan,1.0,2,0,0,True,[],'',''
1619187919738183519,,1,,1619187919,737548697,'',15.13700008392334,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.045000076293945, 5.045000076293945, 5.045000076293945]","""id0""",''
1619187921738123710,,2,,1619187921,736968709,'',15.137999534606934,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.045000076293945, 5.045000076293945, 5.045000076293945]","""id0""",''
1619187923737849072,,3,,1619187923,737340269,'',15.133999824523926,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.045000076293945, 5.045000076293945, 5.045000076293945]","""id0""",''
1619187925738822905,,4,,1619187925,737629056,'',15.13700008392334,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.046000003814697, 5.046000003814697, 5.046000003814697]","""id0""",''
1619187927736847228,,5,,1619187927,735981040,'',15.138999938964844,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.045000076293945, 5.045000076293945, 5.045000076293945]","""id0""",''
1619187929736208593,,6,,1619187929,734880388,'',15.13599967956543,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.044000148773193, 5.044000148773193, 5.044000148773193]","""id0""",''
1619187931735549846,,7,,1619187931,734192817,'',15.137999534606934,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.046000003814697, 5.046000003814697, 5.046000003814697]","""id0""",''
1619187933734239103,,8,,1619187933,733914717,'',15.13599967956543,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.045000076293945, 5.045000076293945, 5.045000076293945]","""id0""",''
1619187935735365267,,9,,1619187935,734831703,'',15.13700008392334,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.046000003814697, 5.046000003814697, 5.046000003814697]","""id0""",''
1619187937733599943,,10,,1619187937,732767229,'',15.137999534606934,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[5.044000148773193, 5.044000148773193, 5.044000148773193]","""id0""",''
