rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1617797265422098129,,13,,1617797265,421623425,'',12.211000442504883,-0.09000000357627869,nan,nan,nan,1.0,2,0,3,True,"[4.071000099182129, 4.071000099182129, 4.071000099182129]","""id0""",''
1617797267425721310,,14,,1617797267,424575713,'',12.210000038146973,-0.5799999833106995,nan,nan,nan,1.0,2,0,3,True,"[4.067999839782715, 4.067999839782715, 4.067999839782715]","""id0""",''
1617797269421780490,,15,,1617797269,421174218,'',12.204000473022461,-0.3199999928474426,nan,nan,nan,1.0,2,0,3,True,"[4.068999767303467, 4.068999767303467, 4.068999767303467]","""id0""",''
1617797271425478868,,16,,1617797271,424286836,'',12.204999923706055,-0.27000001072883606,nan,nan,nan,1.0,2,0,3,True,"[4.068999767303467, 4.068999767303467, 4.068999767303467]","""id0""",''
1617797273425039224,,17,,1617797273,424167677,'',12.208000183105469,-0.23000000417232513,nan,nan,nan,1.0,2,0,3,True,"[4.067999839782715, 4.067999839782715, 4.067999839782715]","""id0""",''
1617797275421283458,,18,,1617797275,420663549,'',12.208000183105469,-0.20000000298023224,nan,nan,nan,1.0,2,0,3,True,"[4.068999767303467, 4.068999767303467, 4.068999767303467]","""id0""",''
1617797277424460660,,19,,1617797277,423877399,'',12.208000183105469,-0.1599999964237213,nan,nan,nan,1.0,2,0,3,True,"[4.068999767303467, 4.068999767303467, 4.068999767303467]","""id0""",''
1617797279421566166,,20,,1617797279,420861499,'',12.208999633789062,-0.14000000059604645,nan,nan,nan,1.0,2,0,3,True,"[4.070000171661377, 4.070000171661377, 4.070000171661377]","""id0""",''
1617797281421216244,,21,,1617797281,420730603,'',12.211999893188477,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[4.070000171661377, 4.070000171661377, 4.070000171661377]","""id0""",''
