rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1620221473151475593,,15041,,1620221473,146486464,"""base_link""",,0.0728498938349681,-0.04253105523065222,-0.8290356751735325,-0.5527963791949457,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.0008781118085607886,0.004572046920657158,-0.0005850633024238055,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.568284034729004,-0.08467632532119632,9.759526252746582,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473169125173,,15042,,1620221473,166486464,"""base_link""",,0.07284371141912716,-0.042546320292347256,-0.8290364443535178,-0.5527950199590812,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,0.0006225991528481245,0.004789932630956173,8.94691620487714e-05,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.537713646888733,-0.10299826413392901,9.756654739379883,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473190108482,,15043,,1620221473,186486464,"""base_link""",,0.07285022047304406,-0.04253831502530822,-0.8290364338168057,-0.5527946090273084,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0009399415575899184,0.004318675957620144,0.00014089005708228743,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.565792202949524,-0.07081568241119265,9.732020378112793,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473211404500,,15044,,1620221473,206472896,"""base_link""",,0.07284655633140164,-0.042532896521096535,-0.829040427230702,-0.5527896040890476,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.00013016887533012778,0.004590990021824837,0.0009805088629946106,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5291301012039185,-0.13076548278331637,9.752598762512207,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473229241184,,15045,,1620221473,226472896,"""base_link""",,0.0728494499759697,-0.04253096171733209,-0.8290402375698838,-0.5527896251624719,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0009588490356691182,0.004505795892328024,-0.00011467975855339374,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5692757368087769,-0.10177595913410066,9.813961029052734,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473250958857,,15046,,1620221473,246472896,"""base_link""",,0.07285596429824268,-0.04252823007471298,-0.8290384990123826,-0.552791616601064,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0004958725185133517,0.005476968828588724,0.00021573074627667598,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5564873218536377,-0.09276414662599444,9.766462326049805,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473269135537,,15047,,1620221473,266472896,"""base_link""",,0.07285360539181508,-0.042529524773215664,-0.8290371292398061,-0.5527937450169138,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0009292095201089978,0.005212778691202402,-0.00027476024115458196,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5877833366394043,-0.08652424812316775,9.791338920593262,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473290038787,,15048,,1620221473,286472896,"""base_link""",,0.07284772590644781,-0.04252616356204692,-0.8290404693775505,-0.5527899834106842,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0003505298518575728,0.003912554122507572,0.0005930655170232053,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5344785451889038,-0.05730628222226976,9.832066535949707,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473311434075,,15049,,1620221473,306459328,"""base_link""",,0.07284811708188556,-0.04253682539763116,-0.8290418602235514,-0.55278699098444,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.00036545685725286603,0.004049153067171574,-0.00018890762294177015,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5425561666488647,-0.07224508374929309,9.765263557434082,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
1620221473329962989,,15050,,1620221473,326459328,"""base_link""",,0.07284411576545505,-0.042538055558772075,-0.8290426715503851,-0.5527860953639091,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,-0.0007149333250708878,0.0049517108127474785,0.00023678650904912442,"[1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07, 0.0, 0.0, 0.0, 1.2184696791468346e-07]",,-1.5535030364990234,-0.06003253906965136,9.77631950378418,"[8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08, 0.0, 0.0, 0.0, 8.999999999999999e-08]"
