rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,Status,Status1,x_command,y_command,z_command,yaw_command,vx_command,vy_command,vz_command,Roll_pwm,Pitch_pwm,Thrust_pwm,Yaw_pwm,Roll_trim,Pitch_trim,Thrust_hover,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,x_i,y_i,z_i,eb_x,eb_y,eb_z,eb_yaw,ebi_x,ebi_y,ebi_z,ebi_yaw,ebd_x,ebd_y,ebd_z,XY_PID,Z_PID,Yaw_PID,Perch_R_PID,Perch_T_PID,Thrust_v_PID,RP_v_PID
1620230841797577753,,0,,1620230841,754216000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1007,1500,1500,1500,1364,0.005239767066439426,0.8769450308438209,1.2233793654531366e-05,0.06410741200771225,0.027623222634197597,1.6372812881317018,-0.0007044850252510592,0.0008800517970030353,-0.00017476187332974235,0.01223695121266969,0.016541928781850013,-0.003090704063574024,0.005260793848432758,0.8769241943776543,0.1323692983295049,-2.2187367054694452e-05,-1.9596035989100697e-05,0.3676184678768406,5.074178843522681e-05,-4.437473410938891e-07,-4.437473410938891e-07,-4.437473410938891e-07,2.0296715374090722e-06,0.0009249106504373002,0.0006444614844340254,-0.00017476187332974235,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841818574453,,1,,1620230841,774732000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1009,1500,1500,1500,1364,0.005240684148844924,0.8769265768221248,5.498097486983378e-06,0.06379257537394543,0.028016099644897013,1.6371187471459951,0.00012673744893111605,-0.0006733156169844779,-0.0002104080441090081,-0.01049704115021499,-0.008995666253812309,-0.0008432974530130418,0.005260793848432758,0.8769241943776543,0.1323692983295049,-3.709953002266628e-06,-1.99075942265466e-05,0.3676252035730081,-0.00011179919727144494,-5.178826920975824e-07,-5.178826920975824e-07,-5.178826920975824e-07,-2.4422963534487256e-06,-0.0006802346888530644,-8.183562254745859e-05,-0.0002104080441090081,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841838960245,,2,,1620230841,794653000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1011,1500,1500,1500,1364,0.0052345166292713016,0.8769288686762386,2.3387664304458378e-05,0.06389849097389427,0.027780820503798417,1.6372811036048152,-0.0006055327481201729,-3.760986353327882e-05,0.0009079499891317307,0.012885155129864602,0.01286887883197417,0.010050104652085997,0.005260793848432758,0.8769241943776543,0.1323692983295049,-6.409719949477536e-06,-2.5908624129500198e-05,0.3676073140061906,5.055726154856721e-05,-6.462053693606858e-07,-6.462053693606858e-07,-6.462053693606858e-07,-4.2000589150603705e-07,2.7022852941749985e-06,0.0006066935870232596,0.0009079499891317307,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841857031083,,3,,1620230841,813631000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1013,1500,1500,1500,1364,0.005237081544387337,0.876920127085324,2.6627474582707755e-05,0.06394161006886774,0.02795534649723043,1.6374652292069003,0.0002495787034378273,-0.0004999394203040359,0.00013113408871363353,-0.008897707491307437,0.001674411258258554,0.00805488277348286,0.005260793848432758,0.8769241943776543,0.1323692983295049,2.4785541954482577e-06,-2.3930587104028177e-05,0.3676040741959124,0.00023468286363370616,-5.968751537067621e-07,-5.968751537067621e-07,-5.968751537067621e-07,8.96730865384221e-06,-0.0005154555956127821,-0.0002157185252478664,0.00013113408871363353,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841878145603,,4,,1620230841,834272000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1015,1500,1500,1500,1364,0.005243746329665277,0.876922786670638,1.2294703550658204e-05,0.06375196154052867,0.028131756854292252,1.6372390129478618,-0.00026080176625812093,6.407481569663606e-05,-0.0005339691056822902,-0.00805704514456515,-0.0007704723986133762,-0.007028473115082675,0.005260793848432758,0.8769241943776543,0.1323692983295049,2.7275117906358654e-07,-1.7103366392778424e-05,0.3676184069669445,8.466604595191995e-06,-5.910159284181813e-07,-5.910159284181813e-07,-5.910159284181813e-07,9.30597283764989e-06,8.124905739351246e-05,0.00025597213512915644,-0.0005339691056822902,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841899674440,,5,,1620230841,856435000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1017,1500,1500,1500,1364,0.0052521611460412815,0.8769403203777023,1.8539335262746093e-05,0.06391459166775972,0.027633071015219127,1.6372488028576346,0.0009974313367406278,0.0004542859909583373,6.695920852142468e-05,0.013586087893149423,0.0021658362307194635,0.00452548487680899,0.005260793848432758,0.8769241943776543,0.1323692983295049,-1.666364982406959e-05,-7.542824581521997e-06,0.36761216233523236,1.825651436804243e-05,-9.243097668858381e-07,-9.243097668858381e-07,-9.243097668858381e-07,1.0036233412371586e-05,0.0003870503019309745,-0.0010253960682918262,6.695920852142468e-05,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841921661957,,6,,1620230841,876184000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1019,1500,1500,1500,1364,0.005262942431528448,0.8769335864439619,1.1579271987721684e-05,0.0637718134063193,0.027978315350961017,1.6372249123430422,0.0002745444272882749,0.00015657559279762007,-0.0005784828998640443,-0.010271023331587224,-0.01011158890814731,-0.0021636348923029175,0.005260793848432758,0.8769241943776543,0.1323692983295049,-9.228729084678537e-06,2.7672871781654467e-06,0.36761912239850736,-5.6340002243526754e-06,-1.1088298832254105e-06,-1.1088298832254105e-06,-1.1088298832254105e-06,9.810873403397478e-06,0.00013800606687748178,-0.0002843323483530867,-0.0005784828998640443,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841941029346,,7,,1620230841,897808000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1021,1500,1500,1500,1364,0.005230053337652563,0.8769322948400179,1.2847018040468283e-05,0.06378272061653896,0.027844448366546058,1.6372228490914207,-0.0011708845955191163,-0.00030488883719409114,0.00020182855032319883,0.0038923453661059587,0.004172818370654478,0.005766743635586543,0.005260793848432758,0.8769241943776543,0.1323692983295049,-1.0123081210284982e-05,-3.013502481068305e-05,0.36761785465245467,-7.697251845906194e-06,-1.3112869178179466e-06,-1.3112869178179466e-06,-1.3112869178179466e-06,9.50298332956123e-06,-0.0002264958206671595,0.00118854010546125,0.00020182855032319883,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841958848321,,8,,1620230841,914979000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1023,1500,1500,1500,1364,0.005257718036482389,0.8769288116692897,3.417729650490031e-05,0.06380826805003739,0.027676656340821164,1.637381104875184,0.0012013883396424297,-0.00016017399953551734,0.0010331693502403235,0.006254834242968818,0.0002480442748140285,0.004656491824340681,0.005260793848432758,0.8769241943776543,0.1323692983295049,-4.8117109165098844e-06,-2.7617818987027538e-06,0.3675965243739902,0.00015055853191747737,-1.4079685338287104e-06,-1.4079685338287104e-06,-1.4079685338287104e-06,1.5525324606260326e-05,-0.00023975414198965434,-0.001188068854972136,0.0010331693502403235,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620230841979160704,,9,,1620230841,935187000,'',"""Position""",'',0.005260793848432758,0.8769241943776543,0.5,1.6372305463432666,0.0,0.0,0.0,1500,1500,1025,1500,1500,1500,1364,0.005236033449698044,0.8769151686308208,3.4952752176270474e-05,0.0637824831639498,0.028014981653968915,1.6372184114751087,-0.0006195083463615681,-0.0007708778316241555,0.00016812758584648342,-0.013506965542579477,-0.004935410249605306,-0.00565518217847717,0.005260793848432758,0.8769241943776543,0.1323692983295049,7.362415595730379e-06,-2.5304866883701447e-05,0.3675957489183188,-1.21348681578759e-05,-1.2602512906309025e-06,-1.2602512906309025e-06,-1.2602512906309025e-06,1.503992987994529e-05,-0.0007280591563669486,0.0006693079166806946,0.00016812758584648342,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
