rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1620234684302471098,,15,,1620234684,301763994,'',14.50100040435791,-15.130000114440918,nan,nan,nan,0.33000001311302185,2,0,3,True,"[3.5799999237060547, 3.5799999237060547, 3.5799999237060547, 3.5799999237060547]","""id0""",''
1620234686300551204,,16,,1620234686,300076015,'',14.187000274658203,-16.440000534057617,nan,nan,nan,0.25,2,0,3,True,"[3.5260000228881836, 3.5260000228881836, 3.5260000228881836, 3.5260000228881836]","""id0""",''
1620234688300073355,,17,,1620234688,298905448,'',14.001999855041504,-16.3700008392334,nan,nan,nan,0.20000000298023224,2,0,3,True,"[3.494999885559082, 3.494999885559082, 3.494999885559082, 3.494999885559082]","""id0""",''
1620234690301201605,,18,,1620234690,300685354,'',13.970999717712402,-16.350000381469727,nan,nan,nan,0.20000000298023224,2,0,3,True,"[3.490999937057495, 3.490999937057495, 3.490999937057495, 3.490999937057495]","""id0""",''
1620234692298698151,,19,,1620234692,298306645,'',13.928000450134277,-16.639999389648438,nan,nan,nan,0.1599999964237213,2,0,3,True,"[3.4709999561309814, 3.4709999561309814, 3.4709999561309814, 3.4709999561309814]","""id0""",''
1620234694298785088,,20,,1620234694,297802747,'',13.85099983215332,-16.649999618530273,nan,nan,nan,0.14000000059604645,2,0,3,True,"[3.4590001106262207, 3.4590001106262207, 3.4590001106262207, 3.4590001106262207]","""id0""",''
1620234696299273917,,21,,1620234696,297991578,'',13.819000244140625,-16.6299991607666,nan,nan,nan,0.12999999523162842,2,0,3,True,"[3.4560000896453857, 3.4560000896453857, 3.4560000896453857, 3.4560000896453857]","""id0""",''
1620234698299598092,,22,,1620234698,299165388,'',13.8149995803833,-16.780000686645508,nan,nan,nan,0.11999999731779099,2,0,3,True,"[3.444000005722046, 3.444000005722046, 3.444000005722046, 3.444000005722046]","""id0""",''
1620234700299228263,,23,,1620234700,298886367,'',13.758000373840332,-16.65999984741211,nan,nan,nan,0.10999999940395355,2,0,3,True,"[3.440999984741211, 3.440999984741211, 3.440999984741211, 3.440999984741211]","""id0""",''
1620234702297489823,,24,,1620234702,296899689,'',13.744000434875488,-7.400000095367432,nan,nan,nan,0.18000000715255737,2,0,3,True,"[3.513000011444092, 3.513000011444092, 3.513000011444092, 3.513000011444092]","""id0""",''
1620234704299748369,,25,,1620234704,298963906,'',14.555000305175781,-0.9399999976158142,nan,nan,nan,0.3799999952316284,2,0,3,True,"[3.694000005722046, 3.694000005722046, 3.694000005722046, 3.694000005722046]","""id0""",''
1620234706298944410,,26,,1620234706,298285166,'',14.887999534606934,-0.5199999809265137,nan,nan,nan,0.4399999976158142,2,0,3,True,"[3.73799991607666, 3.73799991607666, 3.73799991607666, 3.73799991607666]","""id0""",''
1620234708297200621,,27,,1620234708,296482680,'',15.01200008392334,-0.05000000074505806,nan,nan,nan,0.47999998927116394,2,0,3,True,"[3.76200008392334, 3.76200008392334, 3.76200008392334, 3.76200008392334]","""id0""",''
