rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1619182791131297350,,228,,1619182791,130794523,'',14.612000465393066,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182793129104874,,229,,1619182793,128597622,'',14.61400032043457,-0.20999999344348907,nan,nan,nan,1.0,2,0,3,True,"[4.867000102996826, 4.867000102996826, 4.867000102996826]","""id0""",''
1619182795130293283,,230,,1619182795,129618776,'',14.539999961853027,-0.38999998569488525,nan,nan,nan,1.0,2,0,3,True,"[4.8420000076293945, 4.8420000076293945, 4.8420000076293945]","""id0""",''
1619182797128464391,,231,,1619182797,127924953,'',14.520999908447266,-0.2199999988079071,nan,nan,nan,1.0,2,0,3,True,"[4.843999862670898, 4.843999862670898, 4.843999862670898]","""id0""",''
1619182799128271487,,232,,1619182799,127613004,'',14.557999610900879,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.859000205993652, 4.859000205993652, 4.859000205993652]","""id0""",''
1619182801129521418,,233,,1619182801,128380957,'',14.590999603271484,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.864999771118164, 4.864999771118164, 4.864999771118164]","""id0""",''
1619182803126468556,,234,,1619182803,125893657,'',14.60200023651123,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182805128373495,,235,,1619182805,127804671,'',14.605999946594238,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182807125883132,,236,,1619182807,125106280,'',14.612000465393066,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182809125635131,,237,,1619182809,124975699,'',14.607999801635742,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182811126046725,,238,,1619182811,125475088,'',14.609999656677246,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182813127089453,,239,,1619182813,126359061,'',14.607999801635742,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182815124499632,,240,,1619182815,123886160,'',14.609000205993652,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182817126465893,,241,,1619182817,125855658,'',14.607000350952148,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182819126166219,,242,,1619182819,125501499,'',14.609999656677246,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182821123217278,,243,,1619182821,122860694,'',14.609999656677246,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182823124101825,,244,,1619182823,123614410,'',14.609000205993652,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182825123825938,,245,,1619182825,123181867,'',14.607999801635742,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.867000102996826, 4.867000102996826, 4.867000102996826]","""id0""",''
1619182827122512910,,246,,1619182827,121835703,'',14.607999801635742,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.869999885559082, 4.869999885559082, 4.869999885559082]","""id0""",''
1619182829124424935,,247,,1619182829,123668332,'',14.609999656677246,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182831122789747,,248,,1619182831,122120515,'',14.604000091552734,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182833122514497,,249,,1619182833,121950497,'',14.607000350952148,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.86899995803833, 4.86899995803833, 4.86899995803833]","""id0""",''
1619182835124493695,,250,,1619182835,123934720,'',14.607999801635742,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182837123045348,,251,,1619182837,122370503,'',14.607999801635742,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182839120499400,,252,,1619182839,119778933,'',14.607000350952148,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.868000030517578, 4.868000030517578, 4.868000030517578]","""id0""",''
1619182841122329593,,253,,1619182841,121714545,'',14.602999687194824,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.867000102996826, 4.867000102996826, 4.867000102996826]","""id0""",''
1619182843119708743,,254,,1619182843,119089945,'',14.60099983215332,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.866000175476074, 4.866000175476074, 4.866000175476074]","""id0""",''
1619182845121747162,,255,,1619182845,120947986,'',14.602999687194824,-0.10999999940395355,nan,nan,nan,1.0,2,0,3,True,"[4.867000102996826, 4.867000102996826, 4.867000102996826]","""id0""",''
1619182847121275069,,256,,1619182847,120653184,'',14.597000122070312,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.867000102996826, 4.867000102996826, 4.867000102996826]","""id0""",''
