rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,voltage,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage,location,serial_number
1616771151622922175,,291,,1616771151,622255293,'',12.17199993133545,-0.09000000357627869,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771153622972943,,292,,1616771153,622606772,'',12.173999786376953,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,"[4.058000087738037, 4.058000087738037, 4.058000087738037]","""id0""",''
1616771155622238996,,293,,1616771155,621650497,'',12.173999786376953,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,"[4.058000087738037, 4.058000087738037, 4.058000087738037]","""id0""",''
1616771157622766304,,294,,1616771157,622078060,'',12.17199993133545,-0.3100000023841858,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771159622428214,,295,,1616771159,621795842,'',12.168999671936035,-0.3400000035762787,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771161621159078,,296,,1616771161,620667537,'',12.166999816894531,-0.28999999165534973,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771163620881723,,297,,1616771163,620366883,'',12.168999671936035,-0.23999999463558197,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771165620952977,,298,,1616771165,620200523,'',12.170999526977539,-0.20999999344348907,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771167620403946,,299,,1616771167,619747938,'',12.170999526977539,-0.18000000715255737,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771169620105079,,300,,1616771169,619409635,'',12.170999526977539,-0.14000000059604645,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771171619399993,,301,,1616771171,619052346,'',12.168999671936035,-0.11999999731779099,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771173620057208,,302,,1616771173,619568830,'',12.173999786376953,-0.10000000149011612,nan,nan,nan,1.0,2,0,3,True,"[4.058000087738037, 4.058000087738037, 4.058000087738037]","""id0""",''
1616771175619092558,,303,,1616771175,618426588,'',12.17199993133545,-0.07999999821186066,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771177618764868,,304,,1616771177,618139071,'',12.166999816894531,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771179618535685,,305,,1616771179,617814605,'',12.170999526977539,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771181617910858,,306,,1616771181,617542549,'',12.17199993133545,-0.05999999865889549,nan,nan,nan,1.0,2,0,3,True,"[4.056000232696533, 4.056000232696533, 4.056000232696533]","""id0""",''
1616771183617763759,,307,,1616771183,617221309,'',12.17300033569336,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
1616771185618303680,,308,,1616771185,617551501,'',12.17199993133545,-0.07000000029802322,nan,nan,nan,1.0,2,0,3,True,"[4.057000160217285, 4.057000160217285, 4.057000160217285]","""id0""",''
