# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
7.483333333333333393e+00,1.074904726108102750e+03,-2.693816558215980095e+01,3.273747720140478101e+00,1.627958515842736062e+02,-7.888506769165501975e-01,-1.266813408731062296e+00,-3.532610729046868348e-01,9.913919783144383047e+00,1.226666666666666572e+01,4.093159820202538981e+02
7.500000000000000000e+00,1.074494195209887494e+03,-2.695259442356296020e+01,3.258533637112192238e+00,1.627970663671830494e+02,-9.180088356193318866e-01,-8.754292693520142610e-01,-3.934721698813240520e-01,9.910708170113004201e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.516666666666666607e+00,1.073710903817367580e+03,-2.696976199849468969e+01,3.246362930350727538e+00,1.627968721921095607e+02,-1.026603860446641203e+00,-7.240320130340353044e-01,-3.964514566359469416e-01,9.906445150280362100e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.533333333333333215e+00,1.073271433473821844e+03,-2.698864712036205304e+01,3.234492253236397108e+00,1.627973388434390358e+02,-1.067258870911033775e+00,-7.701108808827612506e-01,-3.561835713161489725e-01,9.910169931517899045e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.549999999999999822e+00,1.073253516910548342e+03,-2.700781778728903149e+01,3.221442126622524604e+00,1.627995900619038991e+02,-1.039375571749749039e+00,-8.960988090580469523e-01,-2.899706292518877127e-01,9.917755544483334518e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.566666666666666430e+00,1.073413474557581139e+03,-2.702523190214181881e+01,3.207588303457823642e+00,1.628036788552490179e+02,-9.241672808177028298e-01,-9.872471955592458936e-01,-2.109149594145932338e-01,9.926517292843072937e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.583333333333333037e+00,1.057326729808296932e+03,-2.703897859099468803e+01,3.193960181928350295e+00,1.628085568058477577e+02,-7.368556568624208269e-01,-9.814346218267651079e-01,-1.545446126914173657e-01,9.940837200885711766e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.599999999999999645e+00,1.009817043436442759e+03,-2.704829535588653755e+01,3.182199381542852201e+00,1.628130472075160355e+02,-5.258391957600563327e-01,-8.531240474340098245e-01,-1.196826705853243633e-01,9.954410594780753740e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.616666666666666252e+00,9.257952601460706319e+02,-2.705359550485331965e+01,3.173578180289745809e+00,1.628158957977080661e+02,-3.433751128513329309e-01,-6.313913687193637436e-01,-1.158228276564564063e-01,9.959505604522524536e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.633333333333332860e+00,8.123979359218437821e+02,-2.705612133939867903e+01,3.168346535943350251e+00,1.628162167431882494e+02,-2.257530593297088495e-01,-3.808173135957080291e-01,-1.664057231414737270e-01,9.953953597897744032e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.649999999999999467e+00,6.969673852170587907e+02,-2.705909813043474799e+01,3.165408178492100877e+00,1.628141267733202540e+02,-2.651368589502308692e-01,-2.011360428445292392e-01,-2.449487311704290626e-01,9.940636517348755419e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.666666666666666963e+00,6.044238673008330807e+02,-2.706580214641842730e+01,3.162980547589673730e+00,1.628104871960712217e+02,-4.823359331181542586e-01,-1.625819181722067408e-01,-3.348025169921018951e-01,9.919312568703810840e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.683333333333333570e+00,5.465733944237282458e+02,-2.707801784635432796e+01,3.158855517952247283e+00,1.628065048409545454e+02,-7.993314284776458223e-01,-2.851647703110691268e-01,-4.235228965815005520e-01,9.899764482356047779e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.700000000000000178e+00,5.216587878015666320e+02,-2.709558412625043644e+01,3.151031614661211400e+00,1.628034129948867417e+02,-1.103131898621465989e+00,-5.378589997513393284e-01,-4.845800114479548171e-01,9.887230854197902374e+00,0.000000000000000000e+00,0.000000000000000000e+00
