rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,Status,Status1,x_command,y_command,z_command,yaw_command,vx_command,vy_command,vz_command,Roll_pwm,Pitch_pwm,Thrust_pwm,Yaw_pwm,Roll_trim,Pitch_trim,Thrust_hover,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,x_i,y_i,z_i,eb_x,eb_y,eb_z,eb_yaw,ebi_x,ebi_y,ebi_z,ebi_yaw,ebd_x,ebd_y,ebd_z,XY_PID,Z_PID,Yaw_PID,Perch_R_PID,Perch_T_PID,Thrust_v_PID,RP_v_PID
1620231199756964385,,7906,,1620231199,710985000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1007,1500,1500,1500,1366,0.08429137826998255,0.966958657256554,2.442221385254295e-05,0.06237238009064725,0.039978697222661855,1.5736193045259037,-0.0005021041495692072,0.0009111895274492982,-0.00041504784063345655,0.006301565812780225,-0.001954781722584877,-0.006994842158846815,0.08430476392741787,0.9669588199295429,0.13310110808005243,1.2488497800490215e-07,-1.3386063320457125e-05,0.36687446970609505,-4.275058545588628e-05,2.4976995600980435e-09,2.4976995600980435e-09,2.4976995600980435e-09,-1.7100234182354512e-06,0.0009126033236746797,0.0004995298845572904,-0.00041504784063345655,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199785162070,,7907,,1620231199,734054000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1009,1500,1500,1500,1366,0.08428059505487763,0.9669691389979398,3.076889628725321e-05,0.06259838631755754,0.039936558956701576,1.5737497006933743,-0.0008605002616647844,0.001010427737767036,0.0002142833140296063,0.005107958879511694,0.012900182848239818,0.004485795895668516,0.08430476392741787,0.9669588199295429,0.13310110808005243,-1.0390403006850792e-05,-2.4138291111863282e-05,0.36686812302366034,8.764558201468375e-05,-2.0534527042514338e-07,-2.0534527042514338e-07,-2.0534527042514338e-07,1.795799862351899e-06,0.0010129647064019472,0.0008575123422774679,0.0002142833140296063,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199802476731,,7908,,1620231199,754041000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1011,1500,1500,1500,1366,0.08429228381495248,0.9669435675682762,3.3458774867295427e-05,0.06254868344093031,0.040123362786010405,1.5737264571179836,6.393243885592951e-05,-0.0007865251167697532,7.620300078592032e-06,-0.008270228362374763,0.0013538695081083128,-0.0014285350375113958,0.08430476392741787,0.9669588199295429,0.13310110808005243,1.5215727487341276e-05,-1.2524750232702904e-05,0.36686543314508024,6.44020066240536e-05,9.898672338789283e-08,9.898672338789283e-08,9.898672338789283e-08,4.371880127314043e-06,-0.0007867090704617543,-6.162754660818135e-05,7.620300078592032e-06,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199822378257,,7909,,1620231199,773120000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1013,1500,1500,1500,1366,0.08430422721510707,0.9669523707525408,1.922317168134846e-05,0.062273285931832754,0.04019594307872629,1.57362001756031,0.0003502237215438347,0.00033498544235383715,-0.0007750226528453834,-0.003051711323239185,-0.013158113062536083,-0.007874588887771872,0.08430476392741787,0.9669588199295429,0.13310110808005243,6.447635784150141e-06,-5.549206284851469e-07,0.3668796687482662,-4.203755104970064e-05,2.2804598314364974e-07,2.2804598314364974e-07,2.2804598314364974e-07,2.6903780853260168e-06,0.0003339951847226123,-0.00035116821938085106,-0.0007750226528453834,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199838061982,,7910,,1620231199,792069000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1015,1500,1500,1500,1366,0.08430604758922566,0.9669472745298607,2.5590254489143982e-05,0.06238541332970168,0.040154996639946046,1.5738192560600954,0.0002464384977671501,-0.00029477325342739205,0.0001537379508275173,0.0006440580578461202,0.002182440185516549,0.007180927518822045,0.08430476392741787,0.9669588199295429,0.13310110808005243,1.1549227343637397e-05,1.248755069259449e-06,0.3668733016654584,0.00015720094873583612,4.588288811747995e-07,4.588288811747995e-07,4.588288811747995e-07,8.978416034759461e-06,-0.0002955168716068627,-0.0002455462944407677,0.0001537379508275173,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199864417230,,7911,,1620231199,813329000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1017,1500,1500,1500,1366,0.08427063609799182,0.9669447593228427,3.557544802718082e-05,0.06257791492469954,0.03996767172897049,1.5736699968433638,-0.0007820544863398854,-0.00020092538310506367,0.0003055867873550286,0.004124325830549428,0.007528133786111909,-0.0016433090863743815,0.08430476392741787,0.9669588199295429,0.13310110808005243,1.3962476657849882e-05,-3.4168094001415025e-05,0.3668633164719204,7.941732004246305e-06,7.382257497656565e-07,7.382257497656565e-07,7.382257497656565e-07,9.296085314929314e-06,-0.0001986771900262347,0.0007826286497078535,0.0003055867873550286,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199879748184,,7912,,1620231199,832550000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1019,1500,1500,1500,1366,0.08431213681156824,0.96695476920936,2.6540604363967102e-05,0.062384630798820916,0.04011245246908641,1.5738382500993375,0.001855318575704033,0.0006692281362665485,-0.0003737823039823594,-0.005978238572118868,-0.014302578013350607,0.0036275309723508625,0.08430476392741787,0.9669588199295429,0.13310110808005243,4.073129155231233e-06,7.360528077529864e-06,0.3668723513155836,0.0001761949879779401,8.194072656622385e-07,8.194072656622385e-07,8.194072656622385e-07,1.6343884834046916e-05,0.000663581311876715,-0.0018573457293275307,-0.0003737823039823594,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199898421718,,7913,,1620231199,852264000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1021,1500,1500,1500,1366,0.08427361231901548,0.966974939431714,3.9434854459508006e-05,0.06261678447956763,0.03974464648376296,1.573803074683679,-0.0011303776374504456,0.0002605890969912532,0.00037581830966692837,0.008391957638650735,0.0021273476934678274,0.0025252102814418967,0.08430476392741787,0.9669588199295429,0.13310110808005243,-1.6213094198339754e-05,-3.1103000382834576e-05,0.36685945706548806,0.00014101957231948958,4.951989657417549e-07,4.951989657417549e-07,4.951989657417549e-07,2.19846677268265e-05,0.00026398667451382486,0.0011295890033095665,0.00037581830966692837,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199918893867,,7914,,1620231199,872164000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1023,1500,1500,1500,1366,0.0842771262926043,0.9669509201122976,4.0598534302327405e-05,0.0625306577943485,0.03981979928085035,1.573729073968533,-0.00033608051974526093,-0.0014244393174994512,0.00026264409946690425,-0.0006634729656228196,-0.004522772123838186,-0.0033085218448012654,0.08430476392741787,0.9669588199295429,0.13310110808005243,7.81872919300274e-06,-2.7660684091414703e-05,0.36685829338564524,6.70188571734176e-05,6.517323081639555e-07,6.517323081639555e-07,6.517323081639555e-07,2.4665422013763204e-05,-0.0014234475539168117,0.00034025658882495206,0.00026264409946690425,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
1620231199942073877,,7915,,1620231199,893382000,'',"""Position""",'',0.08430476392741787,0.9669588199295429,0.5,1.5736620551113596,0.0,0.0,0.0,1500,1500,1025,1500,1500,1500,1366,0.08427263961033964,0.9669688793876318,3.6334618290528864e-05,0.06257549977663292,0.039767982678518686,1.5736066829056214,-0.0011073218445923076,0.0012906673433715668,0.0002100266315444685,0.014906500347635337,0.004744312698227536,-0.014142441226924561,0.08430476392741787,0.9669588199295429,0.13310110808005243,-1.0149699015529733e-05,-3.209591959546219e-05,0.36686255730165707,-5.537220573814672e-05,4.490686026710253e-07,4.490686026710253e-07,4.490686026710253e-07,2.2450533784237335e-05,0.001293774211080151,0.0011036902416443944,0.0002100266315444685,"[160.0, 65.0, 160.0]","[170.0, 150.0, 160.0]","[260.0, 40.0, 0.0]","[120.0, 110.0, 110.0]","[90.0, 90.0, 70.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
