# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
3.433333333333333126e+00,1.050372779916186573e+03,2.980841020477103598e+01,-1.166566573123285622e+01,-1.451593726563276050e+02,7.558971238784360480e+01,-7.390711376041494418e+01,3.743144491121672690e+00,8.613324861238448094e+00,3.433333333333333126e+00,1.050372779916186573e+03
3.449999999999999734e+00,1.038336900202294146e+03,3.136998644129560532e+01,-1.268658849157350055e+01,-1.455982657289742974e+02,9.236828186978624444e+01,-6.405904243985506241e+01,9.006918368133893793e+00,7.934132599535708152e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.466666666666666785e+00,1.013096622351231190e+03,3.324396910619817902e+01,-1.361853108581762939e+01,-1.459105604219256804e+02,1.109417356878882686e+02,-5.524612548243658239e+01,1.466434520015650733e+01,7.430063083649452338e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.483333333333333393e+00,9.804691184846531087e+02,3.537836084690736982e+01,-1.450086970923207375e+01,-1.461398837617241782e+02,1.276703914626899348e+02,-5.101167138315604177e+01,1.975990184169294039e+01,7.100352033872386670e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,9.464385433338140956e+02,3.772832993205109631e+01,-1.540748478557686241e+01,-1.463731042548544679e+02,1.398954960519243684e+02,-5.342520014110858995e+01,2.324708955293162660e+01,6.929381782585216421e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.516666666666666607e+00,9.186281989166797075e+02,4.033919984517766721e+01,-1.643776081191289506e+01,-1.467377840326217040e+02,1.502939544135736014e+02,-6.286256804214386307e+01,2.409902570189773030e+01,6.692382943555038821e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.533333333333333215e+00,9.027845864467021784e+02,4.319180082548451338e+01,-1.761170140678459717e+01,-1.473320500102348092e+02,1.616682415277662415e+02,-7.867276238729458271e+01,2.235657291090761589e+01,6.423411842230077440e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.549999999999999822e+00,9.002996273872021220e+02,4.631386794336691537e+01,-1.893076346905325025e+01,-1.482581474357642435e+02,1.742631900482952290e+02,-9.982673282716501717e+01,1.901821092163154248e+01,6.148860644562546440e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.566666666666666430e+00,9.046783617645477307e+02,4.983761674105587502e+01,-2.042109605393364546e+01,-1.496612228802283653e+02,1.867346316306434630e+02,-1.247275390614361044e+02,1.546953966358576515e+01,5.687776977234727305e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.583333333333333481e+00,9.074337548595565295e+02,5.385334513939532997e+01,-2.207109698576564938e+01,-1.516248274693248561e+02,1.986118526467705010e+02,-1.506384419105892221e+02,1.247819970844608939e+01,4.875611239723136592e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000089e+00,9.027170411327283546e+02,5.831457692270338811e+01,-2.377296828683977736e+01,-1.540848829223317580e+02,2.115731347324181684e+02,-1.728572105135270647e+02,1.033336407747572849e+01,3.794175187821588580e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.616666666666666696e+00,8.875416139823203139e+02,6.317979041595106793e+01,-2.540779553267905300e+01,-1.569099171435267976e+02,2.270623866770410473e+02,-1.864525699010663686e+02,1.030263988764049543e+01,2.605161980473217564e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.633333333333333304e+00,8.624214930618491053e+02,6.859062936033838298e+01,-2.693255069303417670e+01,-1.600497236155724750e+02,2.442974064754092183e+02,-1.918184088333293289e+02,1.435576144485926342e+01,1.670867855884656583e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.649999999999999911e+00,8.315863559623956007e+02,7.449916958343887075e+01,-2.831808561593552653e+01,-1.633743818262302625e+02,2.635259200082475672e+02,-1.913455478521513555e+02,2.336754137800900466e+01,1.167391423767142777e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.666666666666666519e+00,8.109941012047834192e+02,8.077889168379674345e+01,-2.954431102285896316e+01,-1.667627341162955474e+02,2.822914884886007485e+02,-1.874364460783716311e+02,3.562558769674116377e+01,1.026333580660704126e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.683333333333333126e+00,8.137361379204508012e+02,8.739364798685618041e+01,-3.060188862553029310e+01,-1.534701638900073704e+02,2.972853870532748033e+02,-1.818862821652788853e+02,4.835006182993044632e+01,1.083903847698032941e+00,0.000000000000000000e+00,0.000000000000000000e+00
